weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Magazine,Stability,Zoom,Recoil
11,ACE OF SPADES,Exotic,Any,Kinetic,Hand Cannon,84.0,75.0,40.0,42.0,70.0,56.0,14.0,140.0,13.0,40.0,14.0,100.0
12,CRIMSON,Exotic,Any,Kinetic,Hand Cannon,92.0,55.0,45.0,60.0,75.0,100.0,15.0,415.0,14.0,80.0,14.0,55.0
13,HAWKMOON,Exotic,Any,Kinetic,Hand Cannon,84.0,52.0,71.0,59.0,93.0,52.0,26.0,140.0,8.0,63.0,14.0,96.0
14,LUMINA,Exotic,Any,Kinetic,Hand Cannon,84.0,53.0,71.0,61.0,88.0,58.0,27.0,140.0,13.0,50.0,14.0,95.0
15,MALFEASANCE,Exotic,Any,Kinetic,Hand Cannon,78.0,40.0,29.0,80.0,50.0,57.0,53.0,180.0,14.0,80.0,14.0,98.0
16,STURM,Exotic,Any,Kinetic,Hand Cannon,92.0,60.0,40.0,50.0,50.0,30.0,12.0,120.0,9.0,51.0,14.0,80.0
17,THE LAST WORD,Exotic,Any,Kinetic,Hand Cannon,78.0,20.0,20.0,80.0,40.0,40.0,19.0,225.0,8.0,40.0,11.0,100.0
18,THORN,Exotic,Any,Kinetic,Hand Cannon,84.0,34.0,65.0,40.0,85.0,60.0,21.0,140.0,11.0,55.0,14.0,100.0
49,ERIANA'S VOW,Exotic,Any,Energy,Hand Cannon,100.0,100.0,23.0,24.0,80.0,0.0,9.0,90.0,6.0,30.0,24.0,100.0
50,SUNSHOT,Exotic,Any,Energy,Hand Cannon,80.0,31.0,81.0,72.0,60.0,53.0,27.0,150.0,12.0,40.0,14.0,98.0
163,AGAMID,Legendary,Any,Kinetic,Hand Cannon,92.0,55.0,25.0,31.0,43.0,57.0,10.0,120.0,9.0,23.0,14.0,100.0
164,AUSTRINGER,Legendary,Any,Kinetic,Hand Cannon,84.0,46.0,47.0,46.0,75.0,53.0,13.0,140.0,11.0,59.0,14.0,95.0
165,AUSTRINGER,Legendary,Any,Kinetic,Hand Cannon,84.0,46.0,47.0,46.0,75.0,53.0,10.0,140.0,11.0,59.0,14.0,95.0
166,BAD NEWS,Legendary,Any,Kinetic,Hand Cannon,92.0,56.0,26.0,25.0,66.0,54.0,10.0,120.0,8.0,21.0,14.0,88.0
167,BAD NEWS XF4354,Legendary,Any,Kinetic,Hand Cannon,92.0,56.0,26.0,25.0,66.0,54.0,10.0,120.0,8.0,21.0,14.0,88.0
168,BETTER DEVILS,Legendary,Any,Kinetic,Hand Cannon,84.0,40.0,40.0,40.0,75.0,50.0,10.0,140.0,10.0,42.0,14.0,88.0
169,BETTER DEVILS,Legendary,Any,Kinetic,Hand Cannon,84.0,40.0,40.0,40.0,75.0,50.0,10.0,140.0,10.0,42.0,14.0,88.0
170,CRIMIL'S DAGGER,Legendary,Any,Kinetic,Hand Cannon,92.0,60.0,23.0,24.0,67.0,56.0,10.0,120.0,8.0,23.0,14.0,98.0
171,CRIMIL'S DAGGER,Legendary,Any,Kinetic,Hand Cannon,92.0,60.0,23.0,24.0,67.0,56.0,10.0,120.0,8.0,23.0,14.0,98.0
172,D.F.A.,Legendary,Any,Kinetic,Hand Cannon,84.0,45.0,42.0,47.0,77.0,58.0,18.0,140.0,9.0,54.0,14.0,88.0
173,D.F.A.,Legendary,Any,Kinetic,Hand Cannon,84.0,45.0,42.0,47.0,77.0,58.0,10.0,140.0,9.0,54.0,14.0,88.0
174,D.F.A. (ADEPT),Legendary,Any,Kinetic,Hand Cannon,84.0,45.0,42.0,47.0,77.0,58.0,18.0,140.0,9.0,54.0,14.0,88.0
175,DIRE PROMISE,Legendary,Any,Kinetic,Hand Cannon,84.0,42.0,57.0,49.0,83.0,60.0,10.0,140.0,11.0,47.0,14.0,84.0
176,DIRE PROMISE,Legendary,Any,Kinetic,Hand Cannon,84.0,39.0,57.0,49.0,87.0,60.0,10.0,140.0,11.0,44.0,14.0,84.0
177,DUKE MK. 44,Legendary,Any,Kinetic,Hand Cannon,92.0,64.0,30.0,30.0,64.0,50.0,10.0,120.0,9.0,29.0,14.0,90.0
178,EYASLUNA,Legendary,Any,Kinetic,Hand Cannon,84.0,51.0,49.0,45.0,80.0,54.0,10.0,140.0,11.0,64.0,14.0,96.0
179,FATEBRINGER,Legendary,Any,Kinetic,Hand Cannon,84.0,46.0,55.0,46.0,84.0,53.0,10.0,140.0,10.0,57.0,14.0,98.0
180,FATEBRINGER (TIMELOST),Legendary,Any,Kinetic,Hand Cannon,84.0,46.0,55.0,46.0,84.0,53.0,10.0,140.0,10.0,57.0,14.0,98.0
181,HOME FOR THE LOST,Legendary,Any,Kinetic,Hand Cannon,92.0,52.0,29.0,25.0,61.0,50.0,10.0,120.0,9.0,18.0,14.0,93.0
182,JUDGMENT,Legendary,Any,Kinetic,Hand Cannon,84.0,44.0,42.0,40.0,75.0,50.0,10.0,140.0,9.0,42.0,14.0,95.0
183,JUDGMENT,Legendary,Any,Kinetic,Hand Cannon,84.0,44.0,42.0,40.0,75.0,50.0,10.0,140.0,9.0,42.0,14.0,95.0
184,LIVING MEMORY,Legendary,Any,Kinetic,Hand Cannon,84.0,38.0,41.0,39.0,72.0,51.0,10.0,140.0,10.0,48.0,14.0,83.0
185,LOUD LULLABY,Legendary,Any,Kinetic,Hand Cannon,92.0,53.0,24.0,23.0,60.0,48.0,10.0,120.0,8.0,17.0,14.0,98.0
186,MIDNIGHT COUP,Legendary,Any,Kinetic,Hand Cannon,84.0,30.0,60.0,56.0,90.0,60.0,10.0,140.0,12.0,40.0,14.0,80.0
187,PRIBINA-D,Legendary,Any,Kinetic,Hand Cannon,92.0,55.0,17.0,28.0,63.0,50.0,10.0,120.0,7.0,11.0,14.0,80.0
188,PRIBINA-D,Legendary,Any,Kinetic,Hand Cannon,92.0,55.0,17.0,28.0,63.0,50.0,10.0,120.0,7.0,11.0,14.0,80.0
189,PURE POETRY,Legendary,Any,Kinetic,Hand Cannon,92.0,53.0,26.0,26.0,60.0,50.0,15.0,120.0,8.0,23.0,14.0,95.0
190,ROSE,Legendary,Any,Kinetic,Hand Cannon,84.0,38.0,68.0,55.0,85.0,58.0,10.0,140.0,11.0,40.0,14.0,95.0
191,SERVICE REVOLVER,Legendary,Any,Kinetic,Hand Cannon,78.0,32.0,31.0,30.0,67.0,48.0,10.0,180.0,12.0,52.0,14.0,88.0
192,SERVICE REVOLVER,Legendary,Any,Kinetic,Hand Cannon,78.0,32.0,31.0,30.0,67.0,48.0,10.0,180.0,12.0,52.0,14.0,88.0
193,SEVENTH SERAPH OFFICER REVOLVER,Legendary,Any,Kinetic,Hand Cannon,78.0,28.0,30.0,49.0,68.0,52.0,10.0,180.0,11.0,52.0,14.0,84.0
194,SOMETHING NEW,Legendary,Any,Kinetic,Hand Cannon,92.0,58.0,24.0,25.0,60.0,51.0,23.0,120.0,8.0,27.0,14.0,98.0
195,SPARE RATIONS,Legendary,Any,Kinetic,Hand Cannon,84.0,36.0,71.0,56.0,83.0,57.0,10.0,140.0,13.0,47.0,14.0,100.0
196,SURVIVOR'S EPITAPH,Legendary,Any,Kinetic,Hand Cannon,78.0,32.0,43.0,45.0,74.0,47.0,10.0,180.0,12.0,56.0,14.0,83.0
197,TEN PACES,Legendary,Any,Kinetic,Hand Cannon,84.0,40.0,38.0,40.0,71.0,50.0,10.0,140.0,10.0,48.0,14.0,87.0
198,THE OLD FASHIONED,Legendary,Any,Kinetic,Hand Cannon,84.0,38.0,45.0,43.0,65.0,50.0,10.0,140.0,9.0,50.0,14.0,95.0
199,THE STEADY HAND,Legendary,Any,Kinetic,Hand Cannon,92.0,60.0,20.0,20.0,65.0,40.0,10.0,120.0,8.0,25.0,14.0,85.0
200,THE STEADY HAND,Legendary,Any,Kinetic,Hand Cannon,92.0,60.0,20.0,20.0,65.0,40.0,10.0,120.0,8.0,25.0,14.0,85.0
201,TRUE PROPHECY,Legendary,Any,Kinetic,Hand Cannon,92.0,58.0,30.0,22.0,62.0,52.0,10.0,120.0,9.0,22.0,14.0,93.0
202,TRUE PROPHECY,Legendary,Any,Kinetic,Hand Cannon,92.0,58.0,30.0,22.0,62.0,52.0,10.0,120.0,9.0,22.0,14.0,93.0
203,VULPECULA,Legendary,Any,Kinetic,Hand Cannon,78.0,32.0,29.0,52.0,69.0,52.0,10.0,180.0,12.0,53.0,14.0,97.0
204,WARDEN'S LAW,Legendary,Any,Kinetic,Hand Cannon,92.0,56.0,24.0,27.0,68.0,52.0,10.0,120.0,8.0,29.0,14.0,97.0
205,WEST OF SUNFALL 7,Legendary,Any,Kinetic,Hand Cannon,78.0,39.0,35.0,26.0,79.0,53.0,10.0,180.0,15.0,64.0,14.0,100.0
